product_id,category,metal,karat,gross_weight,stone_weight,price,image_file
NOSE_PIN_NPS_052,Nosepin,Gold,22K,0.46 gm,0.01 gm,"8,558 ",NOSE_PIN_NPS_052_perspective_view.jpg
NOSE_PIN_NPS_052,Nosepin,Gold,22K,0.46 gm,0.01 gm,"8,558 ",NOSE_PIN_NPS_052_top_view.jpg
NOSE_PIN_NPS_052,Nosepin,Gold,22K,0.46 gm,0.01 gm,"8,558 ",NOSE_PIN_NPS_052_side_view.jpg
NOSE_PIN_NPS_052,Nosepin,Gold,22K,0.46 gm,0.01 gm,"8,558 ",NOSE_PIN_NPS_052_front_view.jpg
NOSE_PIN_NPS_051,Nosepin,Gold,22K,0.06 gm,0.01 gm,"10,706 ",NOSE_PIN_NPS_051_perspective_view.jpg
NOSE_PIN_NPS_051,Nosepin,Gold,22K,0.06 gm,0.01 gm,"10,706 ",NOSE_PIN_NPS_051_top_view.jpg
NOSE_PIN_NPS_051,Nosepin,Gold,22K,0.06 gm,0.01 gm,"10,706 ",NOSE_PIN_NPS_051_side_view.jpg
NOSE_PIN_NPS_051,Nosepin,Gold,22K,0.06 gm,0.01 gm,"10,706 ",NOSE_PIN_NPS_051_front_view.jpg
Earring_ESST_1403,Earrings,Gold,22K,1.50 gm,0.03 gm,"23,732 ",Earring_ESST_1403_perspective_view.jpg
Earring_ESST_1403,Earrings,Gold,22K,1.50 gm,0.03 gm,"23,732 ",Earring_ESST_1403_side_view.jpg
Earring_ESST_1403,Earrings,Gold,22K,1.50 gm,0.03 gm,"23,732 ",Earring_ESST_1403_front_view.jpg
Earring_ESPL_1268,Earrings,Gold,22K,2.00 gm,NA,"21,024 ",Earring_ESPL_1268.jpg
Earring_ESPL_1266,Earrings,Gold,22K,6.50 gm,NA,"68,329 ",Earring_ESPL_1266.jpg
Earring_ESPL_1128,Earrings,Gold,22K,0.90 gm,NA,"9,244 ",Earring_ESPL_1128.jpg
Earring_ESPL_1117,Earrings,Gold,22K,1.5 gm,NA,"15,406 ",Earring_ESPL_1117.jpg
Earring_ESPL_0674,Earrings,Gold,22K,1.6 gm,NA,"16,419 ",Earring_ESPL_0674.jpg
Earring_ESPL_0589,Earrings,Gold,22K,1.6 gm,NA,"16,419 ",Earring_ESPL_0589.jpg
Earring_ESPL_0396,Earrings,Gold,22K,1.00 gm,NA,"10,271 ",Earring_ESPL_0396.jpg
Earring_ESPL_0260,Earrings,Gold,22K,1.5 gm,NA,"15,392 ",Earring_ESPL_0260.jpg
Earring_ESPL_1273,Earrings,Gold,22K,2.00 gm,NA,"20,329 ",Earring_ESPL_1273.jpg
Earring_ESST_1381,Earrings,Gold,22K,1.60 gm,0.019 gm,"25,469 ",Earring_ESST_1381_perspective_view.jpg
Earring_ESST_1381,Earrings,Gold,22K,1.60 gm,0.019 gm,"25,469 ",Earring_ESST_1381_side_view.jpg
Earring_ESST_1381,Earrings,Gold,22K,1.60 gm,0.019 gm,"25,469 ",Earring_ESST_1381_front_view.jpg
Earring_ESST_1388,Earrings,Gold,22K,1.40 gm,0.081 gm,"21,384 ",Earring_ESST_1388_perspective_view.jpg
Earring_ESST_1388,Earrings,Gold,22K,1.40 gm,0.081 gm,"21,384 ",Earring_ESST_1388_side_view.jpg
Earring_ESST_1388,Earrings,Gold,22K,1.40 gm,0.081 gm,"21,384 ",Earring_ESST_1388_front_view.jpg
Earring_ESST_1404,Earrings,Gold,22K,1.50 gm,NA,"23,734 ",Earring_ESST_1404_perspective_view.jpg
Earring_ESST_1404,Earrings,Gold,22K,1.50 gm,NA,"23,734 ",Earring_ESST_1404_side_view.jpg
Earring_ESST_1404,Earrings,Gold,22K,1.50 gm,NA,"23,734 ",Earring_ESST_1404_front_view.jpg
Earring_ESST_1402,Earrings,Gold,22K,2.50 gm,0.12 gm,"38,172 ",Earring_ESST_1402_perspective_view.jpg
